"Timestamp";"Vetronaviglio.5001118029#Energia attiva nel carico#kWh";"Vetronaviglio.5001118029#Potenza attiva#kW"
2026-08-02 02:05:00;725416,32;4,616
2026-08-02 02:10:00;725416,71;4,61188
2026-08-02 02:15:00;725417,11;5,02998
2026-08-02 02:20:00;725417,54;5,0729
2026-08-02 02:25:00;725417,93;4,60695
2026-08-02 02:30:00;725418,32;4,7704
2026-08-02 02:35:00;725418,74;5,1187
2026-08-02 02:40:00;725419,16;4,99433
2026-08-02 02:45:00;725419,55;4,63685
2026-08-02 02:50:00;725419,96;4,92379
2026-08-02 02:55:00;725420,37;4,67975
2026-08-02 03:00:00;725420,76;4,59116
2026-08-02 03:05:00;725421,14;4,63376
2026-08-02 03:10:00;725421,53;4,73821
2026-08-02 03:15:00;725421,92;4,6726
2026-08-02 03:20:00;725422,35;5,223
2026-08-02 03:25:00;725422,78;5,06188
2026-08-02 03:30:00;725423,21;5,18338
2026-08-02 03:35:00;725423,61;4,61405
2026-08-02 03:40:00;725424;4,65443
2026-08-02 03:45:00;725424,42;5,04743
2026-08-02 03:50:00;725424,84;5,07275
2026-08-02 03:55:00;725425,22;4,68604
2026-08-02 04:00:00;725425,63;5,05025
2026-08-02 04:05:00;725426,06;5,15182
2026-08-02 04:10:00;725426,47;4,76477
2026-08-02 04:15:00;725426,87;4,64249
2026-08-02 04:20:00;725427,28;5,26144
2026-08-02 04:25:00;725427,7;5,09377
2026-08-02 04:30:00;725428,1;4,63661
2026-08-02 04:35:00;725428,48;4,69817
2026-08-02 04:40:00;725428,9;5,04512
2026-08-02 04:50:00;725429,71;4,65905
2026-08-02 04:55:00;725430,09;4,69859
2026-08-02 05:05:00;725430,92;4,72082
2026-08-02 05:10:00;725431,31;4,76301
2026-08-02 05:15:00;725431,72;5,05924
2026-08-02 05:20:00;725432,15;5,13963
2026-08-02 05:25:00;725432,53;4,57867
2026-08-02 05:30:00;725432,92;4,53103
2026-08-02 05:35:00;725433,32;4,96665
2026-08-02 05:40:00;725433,73;4,70589
2026-08-02 05:50:00;725434,85;5,18759
2026-08-02 05:55:00;725435,27;4,98923
2026-08-02 06:05:00;725436,05;4,61314
2026-08-02 06:10:00;725436,46;4,96136
2026-08-02 06:15:00;725436,87;4,91418
2026-08-02 06:20:00;725437,25;4,56627
2026-08-02 06:25:00;725437,63;4,58468
2026-08-02 06:30:00;725437,98;3,59577
2026-08-02 06:35:00;725438,27;3,35822
2026-08-02 06:40:00;725438,54;3,1509
2026-08-02 06:45:00;725438,83;3,74791
2026-08-02 06:50:00;725439,14;3,68417
2026-08-02 06:55:00;725439,42;3,35744
2026-08-02 07:00:00;725439,7;3,35662
2026-08-02 07:05:00;725440,01;3,85425
2026-08-02 07:10:00;725440,31;3,47397
2026-08-02 07:15:00;725440,59;3,22244
2026-08-02 07:20:00;725440,86;3,50595
2026-08-02 07:25:00;725441,17;3,69299
2026-08-02 07:30:00;725441,45;3,16041
2026-08-02 07:35:00;725441,72;3,33316
2026-08-02 07:40:00;725442,01;3,64109
2026-08-02 07:45:00;725442,32;3,72481
2026-08-02 07:50:00;725442,59;3,19453
2026-08-02 07:55:00;725442,87;3,29468
2026-08-02 08:05:00;725443,46;3,21412
2026-08-02 08:10:00;725443,73;3,18042
2026-08-02 08:15:00;725444,01;3,69766
2026-08-02 08:20:00;725444,31;3,54833
2026-08-02 08:25:00;725444,59;3,22675
2026-08-02 08:35:00;725445,16;3,66656
2026-08-02 08:40:00;725445,45;3,43459
2026-08-02 08:45:00;725445,73;3,23874
2026-08-02 08:50:00;725445,99;3,36554
2026-08-02 08:55:00;725446,28;3,19167
2026-08-02 09:05:00;725446,78;2,98991
2026-08-02 09:10:00;725447,03;2,93402
2026-08-02 09:15:00;725447,29;3,06527
2026-08-02 09:20:00;725447,57;3,42393
2026-08-02 09:25:00;725447,86;3,51608
2026-08-02 09:35:00;725448,42;3,12752
2026-08-02 09:40:00;725448,68;2,99567
2026-08-02 09:50:00;725449,25;3,03843
2026-08-02 09:55:00;725449,5;3,1057
2026-08-02 10:05:00;725450,05;3,47
2026-08-02 10:10:00;725450,32;3,06111
2026-08-02 10:15:00;725450,57;3,01252
2026-08-02 10:20:00;725450,86;3,38023
2026-08-02 10:25:00;725451,14;3,45029
2026-08-02 10:30:00;725451,39;3,06929
2026-08-02 10:35:00;725451,65;3,18088
2026-08-02 10:40:00;725451,94;3,54386
2026-08-02 10:50:00;725452,47;2,98817
2026-08-02 10:55:00;725452,73;3,37566
2026-08-02 11:05:00;725453,26;2,94437
2026-08-02 11:10:00;725453,51;2,97724
2026-08-02 11:15:00;725453,79;3,32761
2026-08-02 11:20:00;725454,07;3,13728
2026-08-02 11:25:00;725454,32;3,07579
2026-08-02 11:35:00;725454,88;3,43344
2026-08-02 11:40:00;725455,14;3,01115
2026-08-02 11:45:00;725455,4;2,9422
2026-08-02 11:50:00;725455,67;3,5734
2026-08-02 11:55:00;725455,96;3,41234
2026-08-02 12:00:00;725456,21;2,9932
2026-08-02 12:05:00;725456,48;3,23775
2026-08-02 12:10:00;725456,76;3,45884
2026-08-02 12:20:00;725457,29;3,08464
2026-08-02 12:25:00;725457,57;3,49895
2026-08-02 12:30:00;725457,87;3,47043
2026-08-02 12:35:00;725458,13;3,1651
2026-08-02 12:40:00;725458,38;3,0496
2026-08-02 12:45:00;725458,67;3,52925
2026-08-02 12:50:00;725458,95;3,14225
2026-08-02 12:55:00;725459,2;3,03871
2026-08-02 13:05:00;725459,76;3,6459
2026-08-02 13:10:00;725460,04;3,16483
2026-08-02 13:15:00;725460,3;3,21637
2026-08-02 13:20:00;725460,59;3,52886
2026-08-02 13:25:00;725460,88;3,45205
2026-08-02 13:35:00;725461,4;3,05492
2026-08-02 13:40:00;725461,69;3,61315
2026-08-02 13:50:00;725462,57;5,37877
2026-08-02 13:55:00;725462,85;3,59874
2026-08-02 14:00:00;725463,15;3,62387
2026-08-02 14:05:00;725463,42;3,17628
2026-08-02 14:10:00;725463,69;3,22451
2026-08-02 14:15:00;725463,98;3,51987
2026-08-02 14:20:00;725464,28;3,64012
2026-08-02 14:25:00;725464,56;3,35775
2026-08-02 14:30:00;725464,83;3,40333
2026-08-02 14:35:00;725465,14;3,6058
2026-08-02 14:40:00;725465,42;3,24736
2026-08-02 14:45:00;725465,69;3,22434
2026-08-02 14:50:00;725465,98;3,63256
2026-08-02 14:55:00;725466,28;3,48102
2026-08-02 15:00:00;725466,56;3,32443
2026-08-02 15:05:00;725466,84;3,37817
2026-08-02 15:10:00;725467,12;3,24846
2026-08-02 15:15:00;725467,4;3,35367
2026-08-02 15:20:00;725467,71;3,65956
2026-08-02 15:25:00;725468;3,63681
2026-08-02 15:30:00;725468,31;3,56595
2026-08-02 15:35:00;725468,58;3,38175
2026-08-02 15:40:00;725468,87;3,68221
2026-08-02 15:45:00;725469,18;3,6138
2026-08-02 15:50:00;725469,47;3,39435
2026-08-02 15:55:00;725469,75;3,23355
2026-08-02 16:05:00;725470,36;3,77483
2026-08-02 16:10:00;725470,64;3,35657
2026-08-02 16:15:00;725470,92;3,27416
2026-08-02 16:20:00;725471,22;3,75126
2026-08-02 16:25:00;725471,52;3,32992
2026-08-02 16:30:00;725471,79;3,10743
2026-08-02 16:35:00;725472,07;3,6487
2026-08-02 16:40:00;725472,37;3,50948
2026-08-02 16:45:00;725472,66;3,39492
2026-08-02 16:50:00;725472,94;3,37484
2026-08-02 16:55:00;725473,23;3,63673
2026-08-02 17:00:00;725473,55;3,74485
2026-08-02 17:05:00;725473,82;3,27924
2026-08-02 17:10:00;725474,1;3,25396
2026-08-02 17:15:00;725474,4;3,62839
2026-08-02 17:20:00;725474,7;3,29598
2026-08-02 17:25:00;725474,98;3,31856
2026-08-02 17:30:00;725475,27;3,80125
2026-08-02 17:35:00;725475,58;3,82941
2026-08-02 17:40:00;725475,87;3,3112
2026-08-02 17:45:00;725476,15;3,4193
2026-08-02 17:50:00;725476,45;3,68477
2026-08-02 17:55:00;725476,76;3,67468
2026-08-02 18:05:00;725477,32;3,32987
2026-08-02 18:10:00;725477,63;3,75346
2026-08-02 18:15:00;725477,93;3,33128
2026-08-02 18:20:00;725478,2;3,1594
2026-08-02 18:25:00;725478,48;3,66887
2026-08-02 18:30:00;725478,79;3,76937
2026-08-02 18:35:00;725479,08;3,31239
2026-08-02 18:40:00;725479,36;3,37278
2026-08-02 18:45:00;725479,68;4,04413
2026-08-02 18:50:00;725480;3,89262
2026-08-02 18:55:00;725480,3;3,45341
